fname,desert,mountains,sea,sunset,trees
940.jpg,0,0,1,0,0
741.jpg,0,1,0,0,0
367.jpg,1,0,0,0,0
755.jpg,0,1,0,0,0
734.jpg,0,1,0,0,0
6.jpg,1,0,0,0,0
159.jpg,1,0,0,0,0
536.jpg,0,1,0,0,0
35.jpg,1,0,0,1,0
890.jpg,0,0,1,0,0
1115.jpg,0,0,1,1,0
1136.jpg,0,0,1,0,0
395.jpg,1,0,0,1,0
678.jpg,0,1,0,0,0
1668.jpg,0,0,0,0,1
349.jpg,1,0,0,0,0
578.jpg,0,1,0,0,1
1754.jpg,0,0,0,0,1
456.jpg,0,1,0,0,0
844.jpg,0,0,1,0,0
1931.jpg,0,0,0,0,1
1600.jpg,0,0,1,1,0
920.jpg,0,0,1,1,0
1745.jpg,0,0,0,0,1
419.jpg,0,1,0,0,0
1739.jpg,0,0,0,0,1
633.jpg,0,1,0,0,1
431.jpg,0,1,0,0,0
1990.jpg,0,0,0,0,1
1620.jpg,0,0,0,0,1
1475.jpg,0,0,1,1,0
1589.jpg,0,0,1,1,0
1033.jpg,0,0,1,0,0
32.jpg,1,0,0,0,1
908.jpg,0,0,1,0,0
1414.jpg,0,0,0,1,0
1299.jpg,0,0,1,1,0
1057.jpg,0,0,1,0,0
1395.jpg,0,0,0,1,0
1388.jpg,0,0,0,1,0
1380.jpg,0,0,0,1,0
1662.jpg,0,0,1,0,1
1416.jpg,0,0,0,1,0
865.jpg,0,0,1,1,0
1051.jpg,0,0,1,0,0
1390.jpg,0,0,0,1,0
1303.jpg,0,0,0,1,0
1289.jpg,0,0,0,1,0
1110.jpg,0,0,1,0,0
892.jpg,0,0,1,0,0
685.jpg,0,1,0,0,1
34.jpg,1,0,0,0,0
876.jpg,0,0,1,1,0
956.jpg,0,0,1,0,0
361.jpg,1,0,0,0,0
1045.jpg,0,0,1,0,0
446.jpg,0,1,0,0,0
196.jpg,1,0,0,0,0
269.jpg,1,0,0,0,0
831.jpg,0,0,1,0,0
1440.jpg,0,0,0,1,0
948.jpg,0,0,1,0,0
487.jpg,0,1,0,0,0
307.jpg,1,0,0,0,0
539.jpg,0,1,0,0,0
1101.jpg,0,0,1,0,0
1251.jpg,0,0,1,1,0
256.jpg,1,0,0,0,0
1166.jpg,0,0,1,0,0
898.jpg,0,0,1,0,0
1290.jpg,0,0,0,1,0
1884.jpg,0,0,0,0,1
1011.jpg,0,0,1,0,0
103.jpg,1,0,0,0,0
295.jpg,1,0,0,0,0
157.jpg,1,0,0,0,0
1361.jpg,0,0,0,1,1
607.jpg,0,1,0,0,0
128.jpg,1,1,0,0,0
1367.jpg,0,0,0,1,0
1573.jpg,0,0,0,1,0
707.jpg,0,1,0,0,1
1411.jpg,0,0,1,1,0
392.jpg,1,1,0,0,0
1753.jpg,0,0,0,0,1
455.jpg,0,1,0,0,0
1291.jpg,0,0,1,1,0
1643.jpg,0,0,0,0,1
594.jpg,0,1,0,0,0
328.jpg,1,0,1,0,0
1771.jpg,0,0,0,0,1
1061.jpg,0,0,1,0,0
1546.jpg,0,0,0,1,0
1629.jpg,0,0,0,0,1
1275.jpg,0,0,1,1,0
701.jpg,0,1,0,0,1
1535.jpg,0,0,0,1,0
715.jpg,0,1,0,0,0
1193.jpg,0,0,1,0,0
356.jpg,1,0,0,0,0
1385.jpg,0,1,0,1,0
174.jpg,1,0,0,0,0
1137.jpg,0,0,1,0,0
406.jpg,0,1,0,0,0
1189.jpg,0,0,1,0,0
21.jpg,1,0,0,0,1
1644.jpg,0,0,0,0,1
1511.jpg,0,0,1,1,0
343.jpg,1,0,0,0,0
470.jpg,0,1,0,0,0
1840.jpg,0,0,0,0,1
1062.jpg,0,0,1,0,0
1818.jpg,0,0,0,0,1
1060.jpg,0,0,1,0,0
379.jpg,1,0,0,0,0
1350.jpg,0,0,0,1,1
1308.jpg,0,0,1,1,0
1412.jpg,0,0,0,1,1
797.jpg,0,1,0,0,0
753.jpg,0,1,0,0,0
1245.jpg,0,0,1,1,0
827.jpg,0,0,1,0,0
1117.jpg,0,0,1,0,0
1743.jpg,0,0,0,0,1
670.jpg,0,1,0,0,0
318.jpg,1,0,0,0,0
284.jpg,1,0,0,0,0
125.jpg,1,0,0,0,0
29.jpg,1,0,0,0,0
549.jpg,0,1,0,0,0
524.jpg,0,1,0,0,0
1427.jpg,0,1,0,1,0
494.jpg,0,1,0,0,0
1757.jpg,0,0,0,0,1
1580.jpg,0,0,1,1,0
1819.jpg,0,0,0,0,1
468.jpg,0,1,0,0,0
891.jpg,0,0,1,0,0
1664.jpg,0,0,0,0,1
482.jpg,0,1,0,0,1
1017.jpg,0,0,1,0,0
781.jpg,0,1,0,0,0
451.jpg,0,1,0,0,0
471.jpg,0,1,1,0,0
212.jpg,1,0,0,0,0
576.jpg,0,1,0,0,1
1087.jpg,0,0,1,0,1
213.jpg,1,0,0,0,0
436.jpg,0,1,1,0,0
1282.jpg,0,0,0,1,0
1028.jpg,0,0,1,0,0
598.jpg,0,1,0,0,0
1322.jpg,0,0,0,1,0
1715.jpg,0,0,0,0,1
1417.jpg,0,0,0,1,0
278.jpg,1,0,0,0,0
774.jpg,0,1,0,0,0
1378.jpg,0,0,1,1,0
1507.jpg,0,0,0,1,0
267.jpg,1,0,0,0,0
1525.jpg,0,0,0,1,0
434.jpg,0,1,0,0,0
805.jpg,0,0,1,0,0
304.jpg,1,0,0,0,0
1853.jpg,0,0,0,0,1
1025.jpg,0,0,1,0,0
1898.jpg,0,0,0,0,1
880.jpg,0,0,1,0,0
1165.jpg,0,0,1,0,0
1423.jpg,0,0,0,1,0
911.jpg,0,0,1,0,0
1648.jpg,0,0,0,0,1
382.jpg,1,0,0,0,0
540.jpg,0,1,0,0,0
366.jpg,1,0,0,0,0
1860.jpg,0,0,0,0,1
1704.jpg,0,0,0,0,1
1834.jpg,0,0,0,0,1
811.jpg,0,0,1,0,0
1556.jpg,0,0,0,1,0
1237.jpg,0,0,0,1,0
1123.jpg,0,0,1,0,0
1569.jpg,0,0,0,1,0
194.jpg,1,0,0,0,0
89.jpg,1,0,0,0,0
1201.jpg,0,0,0,1,0
1266.jpg,0,0,1,1,0
1428.jpg,0,0,0,1,0
1740.jpg,0,0,0,0,1
788.jpg,0,1,1,0,0
1102.jpg,0,0,1,0,0
1095.jpg,0,0,1,0,0
253.jpg,1,0,1,0,0
947.jpg,0,0,1,0,0
1636.jpg,0,0,0,0,1
1048.jpg,0,0,1,0,0
46.jpg,1,0,0,0,0
1864.jpg,0,0,0,0,1
1974.jpg,0,0,0,0,1
730.jpg,0,1,0,0,0
1268.jpg,0,0,1,1,0
756.jpg,0,1,0,0,0
821.jpg,0,0,1,0,0
1492.jpg,0,0,1,1,0
1205.jpg,0,0,1,1,0
233.jpg,1,0,0,0,0
111.jpg,1,1,0,0,0
804.jpg,0,0,1,0,0
896.jpg,0,0,1,0,0
768.jpg,0,1,0,0,0
221.jpg,1,0,0,0,0
782.jpg,0,1,0,0,0
1233.jpg,0,0,0,1,1
1178.jpg,0,0,1,0,0
1915.jpg,0,1,0,0,1
1890.jpg,0,0,0,0,1
1920.jpg,0,0,0,0,1
1321.jpg,0,0,1,1,0
316.jpg,1,0,0,0,0
1972.jpg,0,0,0,0,1
1180.jpg,0,0,1,1,0
