order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
CA-2016-152156,2016-11-08,CG-12520,Consumer,Furniture,Bookcases,261.96,2,41.9136
CA-2016-152156,2016-11-08,CG-12520,Consumer,Furniture,Chairs,731.94,3,219.582
CA-2016-138688,2016-06-12,DV-13045,Corporate,Office Supplies,Labels,14.62,2,6.8714
US-2015-108966,2015-10-11,SO-20335,Consumer,Furniture,Tables,957.5775,5,-383.031
US-2015-108966,2015-10-11,SO-20335,Consumer,Office Supplies,Storage,22.368,2,2.5164
CA-2014-115812,2014-06-09,BH-11710,Consumer,Furniture,Furnishings,48.86,7,14.1694
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Art,7.28,4,1.9656
CA-2014-115812,2014-06-09,BH-11710,Consumer,Technology,Phones,907.152,6,90.7152
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Binders,18.504,3,5.7825
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,34.47
CA-2014-115812,2014-06-09,BH-11710,Consumer,Furniture,Tables,1706.184,9,85.3092
CA-2014-115812,2014-06-09,BH-11710,Consumer,Technology,Phones,911.424,4,68.3568
CA-2017-114412,2017-04-15,AA-10480,Consumer,Office Supplies,Paper,15.552,3,5.4432
CA-2016-161389,2016-12-05,IM-15070,Consumer,Office Supplies,Binders,407.976,3,132.5922
US-2015-118983,2015-11-22,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,-123.858
US-2015-118983,2015-11-22,HP-14815,Home Office,Office Supplies,Binders,2.544,3,-3.816
CA-2014-105893,2014-11-11,PK-19075,Consumer,Office Supplies,Storage,665.88,6,13.3176
CA-2014-167164,2014-05-13,AG-10270,Consumer,Office Supplies,Storage,55.5,2,9.99
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Office Supplies,Art,8.56,2,2.4824
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Technology,Phones,213.48,3,16.011
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Office Supplies,Binders,22.72,4,7.384
CA-2016-137330,2016-12-09,KB-16585,Corporate,Office Supplies,Art,19.46,7,5.0596
CA-2016-137330,2016-12-09,KB-16585,Corporate,Office Supplies,Appliances,60.34,7,15.6884
US-2017-156909,2017-07-16,SF-20065,Consumer,Furniture,Chairs,71.372,2,-1.0196
CA-2015-106320,2015-09-25,EB-13870,Consumer,Furniture,Tables,1044.63,3,240.2649
CA-2016-121755,2016-01-16,EH-13945,Consumer,Office Supplies,Binders,11.648,2,4.2224
CA-2016-121755,2016-01-16,EH-13945,Consumer,Technology,Accessories,90.57,3,11.7741
US-2015-150630,2015-09-17,TB-21520,Consumer,Furniture,Bookcases,3083.43,7,-1665.0522
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Binders,9.618,2,-7.0532
US-2015-150630,2015-09-17,TB-21520,Consumer,Furniture,Furnishings,124.2,3,15.525
